uid,datetime,type,value
687,2025-05-22 08:18:32,screen,off
671,2025-05-22 08:18:36,screen,off
671,2025-05-22 08:20:05,screen,on
670,2025-05-22 08:20:07,screen,on
671,2025-05-22 08:20:09,screen,off
671,2025-05-22 08:20:17,screen,on
671,2025-05-22 08:20:45,screen,off
687,2025-05-22 08:20:55,screen,on
670,2025-05-22 08:21:36,screen,off
670,2025-05-22 08:21:43,screen,on
670,2025-05-22 08:21:44,screen,off
670,2025-05-22 08:22:01,screen,on
670,2025-05-22 08:23:08,screen,off
670,2025-05-22 08:23:18,screen,on
670,2025-05-22 08:23:36,screen,off
670,2025-05-22 08:23:39,screen,on
670,2025-05-22 08:23:42,screen,off
670,2025-05-22 08:23:48,screen,on
670,2025-05-22 08:23:53,screen,off
670,2025-05-22 08:24:20,screen,on
670,2025-05-22 08:24:33,screen,off
687,2025-05-22 08:24:58,screen,off
671,2025-05-22 08:25:41,screen,on
670,2025-05-22 08:26:54,screen,on
670,2025-05-22 08:27:43,screen,off
670,2025-05-22 08:28:16,screen,on
670,2025-05-22 08:28:40,screen,off
687,2025-05-22 08:28:47,screen,on
687,2025-05-22 08:28:48,screen,off
687,2025-05-22 08:28:56,screen,on
687,2025-05-22 08:29:06,screen,off
670,2025-05-22 08:29:36,screen,on
678,2025-05-22 08:30:02,screen,on
670,2025-05-22 08:31:07,screen,off
687,2025-05-22 08:33:11,screen,on
687,2025-05-22 08:33:14,screen,off
670,2025-05-22 08:33:38,screen,on
670,2025-05-22 08:33:41,screen,off
670,2025-05-22 08:33:44,screen,on
687,2025-05-22 08:33:44,screen,on
687,2025-05-22 08:33:46,screen,off
670,2025-05-22 08:33:55,screen,off
670,2025-05-22 08:33:56,screen,on
687,2025-05-22 08:33:57,screen,on
670,2025-05-22 08:34:00,screen,off
687,2025-05-22 08:34:06,screen,off
670,2025-05-22 08:34:14,screen,on
670,2025-05-22 08:34:17,screen,off
687,2025-05-22 08:34:29,screen,on
687,2025-05-22 08:34:36,screen,off
678,2025-05-22 08:36:08,screen,off
670,2025-05-22 08:36:43,screen,on
687,2025-05-22 08:37:05,screen,on
687,2025-05-22 08:37:39,screen,off
687,2025-05-22 08:39:15,screen,on
687,2025-05-22 08:39:26,screen,off
678,2025-05-22 08:40:01,screen,on
687,2025-05-22 08:40:12,screen,on
687,2025-05-22 08:40:17,screen,off
687,2025-05-22 08:40:42,screen,on
678,2025-05-22 08:41:08,screen,off
687,2025-05-22 08:41:15,screen,off
687,2025-05-22 08:41:37,screen,on
687,2025-05-22 08:41:41,screen,off
687,2025-05-22 08:41:43,screen,on
687,2025-05-22 08:41:45,screen,off
670,2025-05-22 08:42:19,screen,off
687,2025-05-22 08:42:25,screen,on
687,2025-05-22 08:44:58,screen,off
678,2025-05-22 08:45:01,screen,on
670,2025-05-22 08:46:04,screen,on
678,2025-05-22 08:46:05,screen,off
670,2025-05-22 08:46:14,screen,off
687,2025-05-22 08:46:49,screen,on
687,2025-05-22 08:46:50,screen,off
687,2025-05-22 08:47:06,screen,on
670,2025-05-22 08:47:09,screen,on
670,2025-05-22 08:47:19,screen,off
670,2025-05-22 08:47:21,screen,on
687,2025-05-22 08:47:22,screen,off
687,2025-05-22 08:47:26,screen,on
670,2025-05-22 08:47:40,screen,off
687,2025-05-22 08:49:30,screen,off
681,2025-05-22 08:50:01,screen,on
678,2025-05-22 08:50:06,screen,on
678,2025-05-22 08:50:12,screen,off
681,2025-05-22 08:50:19,screen,off
681,2025-05-22 08:50:19,screen,on
687,2025-05-22 08:53:57,screen,on
687,2025-05-22 08:53:59,screen,off
670,2025-05-22 08:54:57,screen,on
670,2025-05-22 08:55:14,screen,off
687,2025-05-22 08:57:08,screen,on
678,2025-05-22 09:01:42,screen,on
678,2025-05-22 09:02:09,screen,off
670,2025-05-22 09:02:14,screen,on
681,2025-05-22 09:02:51,screen,off
678,2025-05-22 09:03:15,screen,on
678,2025-05-22 09:04:10,screen,off
678,2025-05-22 09:05:25,screen,on
670,2025-05-22 09:07:19,screen,off
687,2025-05-22 09:10:40,screen,off
687,2025-05-22 09:11:04,screen,on
687,2025-05-22 09:11:08,screen,off
671,2025-05-22 09:11:30,screen,off
687,2025-05-22 09:11:31,screen,on
687,2025-05-22 09:11:41,screen,off
671,2025-05-22 09:11:55,screen,on
671,2025-05-22 09:12:54,screen,off
671,2025-05-22 09:13:27,screen,on
671,2025-05-22 09:13:32,screen,off
