uid,label_date,sleep_quality,accel_longest_still_period,accel_movement_ratio,accel_evening_movement_ratio,accel_night_movement_ratio,accel_morning_movement_ratio,accel_mean_mag,accel_std_mag,accel_entropy,light_mean_full_window,light_max_full_window,light_entropy_full_window,light_high_duration_full_window,light_mean_day,light_max_day,light_entropy_day,light_high_duration_day,light_mean_pre_sleep,light_max_pre_sleep,light_entropy_pre_sleep,light_high_duration_pre_sleep,light_mean_sleep,light_max_sleep,light_entropy_sleep,light_high_duration_sleep,light_last_peak_time,screen_events_full_window,screen_total_duration_full_window,screen_avg_session_duration_full_window,screen_inter_event_std_full_window,screen_cluster_count_full_window,light_screen_overlap_ratio_full_window,screen_events_day,screen_total_duration_day,screen_avg_session_duration_day,screen_inter_event_std_day,screen_cluster_count_day,light_screen_overlap_ratio_day,screen_events_pre_sleep,screen_total_duration_pre_sleep,screen_avg_session_duration_pre_sleep,screen_inter_event_std_pre_sleep,screen_cluster_count_pre_sleep,light_screen_overlap_ratio_pre_sleep,screen_events_sleep,screen_total_duration_sleep,screen_avg_session_duration_sleep,screen_inter_event_std_sleep,screen_cluster_count_sleep,light_screen_overlap_ratio_sleep,screen_last_on_time,screen_first_on_time_day,screen_gap_before_sleep,wifi_scans_full_window,wifi_unique_aps_full_window,wifi_mean_signal_full_window,wifi_signal_std_full_window,wifi_dominant_ap_ratio_full_window,wifi_entropy_full_window,wifi_strong_ap_ratio_full_window,wifi_avg_num_aps_per_scan_full_window,wifi_dominant_ap_changes_full_window,wifi_scans_day,wifi_unique_aps_day,wifi_mean_signal_day,wifi_signal_std_day,wifi_dominant_ap_ratio_day,wifi_entropy_day,wifi_strong_ap_ratio_day,wifi_avg_num_aps_per_scan_day,wifi_dominant_ap_changes_day,wifi_scans_pre_sleep,wifi_unique_aps_pre_sleep,wifi_mean_signal_pre_sleep,wifi_signal_std_pre_sleep,wifi_dominant_ap_ratio_pre_sleep,wifi_entropy_pre_sleep,wifi_strong_ap_ratio_pre_sleep,wifi_avg_num_aps_per_scan_pre_sleep,wifi_dominant_ap_changes_pre_sleep,wifi_scans_sleep,wifi_unique_aps_sleep,wifi_mean_signal_sleep,wifi_signal_std_sleep,wifi_dominant_ap_ratio_sleep,wifi_entropy_sleep,wifi_strong_ap_ratio_sleep,wifi_avg_num_aps_per_scan_sleep,wifi_dominant_ap_changes_sleep,location_mobility_duration_full_window,location_immobility_duration_full_window,location_mobility_ratio_full_window,location_max_still_duration_full_window,location_num_transitions_full_window,location_avg_speed_full_window,location_mobility_duration_day,location_immobility_duration_day,location_mobility_ratio_day,location_max_still_duration_day,location_num_transitions_day,location_avg_speed_day,location_mobility_duration_pre_sleep,location_immobility_duration_pre_sleep,location_mobility_ratio_pre_sleep,location_max_still_duration_pre_sleep,location_num_transitions_pre_sleep,location_avg_speed_pre_sleep,location_mobility_duration_sleep,location_immobility_duration_sleep,location_mobility_ratio_sleep,location_max_still_duration_sleep,location_num_transitions_sleep,location_avg_speed_sleep,calls_total_day,calls_duration_day,calls_total_pre_sleep,calls_duration_pre_sleep,calls_total_sleep,calls_duration_sleep,calls_num_incoming,calls_num_outgoing,calls_num_missed,calls_last_call_time,calls_first_call_next_day,circadian_screen_center,circadian_light_center,circadian_screen_misalignment,circadian_light_misalignment,screen_pre_sleep_ratio,screen_sleep_ratio,light_pre_sleep_ratio,light_sleep_ratio,screen_wind_down_slope,light_peak_hour_day,light_peak_hour_pre_sleep,light_peak_hour_sleep,accel_activity_hourly_std,circadian_disruption_score,evening_stimulation_index,digital_abstinence_before_sleep,calls_total_full_window,calls_duration_full_window,session
681,2025-04-28,6,3165.0,0.0,0.0,0.0,0.0,9.79197717660855,0.0069041580869477,2.175411252740236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,7.5,-1.0,0.0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,1.75,1.5,0.5384615384615384,75.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.75,1.5,0.5384615384615384,75.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,7.499999999999999,5.750000000000001,14.5,16.25,0.0,0.0,0.0,0.995260663507109,0,-1.0,-1.0,4.0,0,40.70260663507109,0,-1,,,A
681,2025-04-29,5,4740.0,0.5436962750716332,0.6958333333333333,0.2395833333333333,0.5408163265306123,8.728468829747582,1.8070400842586036,1.4599580118058515,1285.8759856630825,71310.0,0.2242275765926477,0.3698924731182795,1992.3727777777776,71310.0,0.321108491788224,0.5733333333333334,3.6038461538461535,30.0,0.8341363410712989,0.0,0.0406593406593406,0.6923076923076923,0.5647111490813841,0.0,15.116666666666667,58.0,4.4,4.551724137931035,623.1479806310606,180.0,0.5517241379310345,49,4.133333333333334,5.061224489795919,582.1201397846125,156,0.6530612244897959,9,0.2666666666666666,1.777777777777778,655.3867699166791,24,0.0,0,0.0,0.0,0.0,0,0.0,1.3166666666666669,7.5,11.0,1395,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,15.483333333333333,7.516666666666667,0.6731884057971014,165.0,20.0,2.0110663940694917,10.483333333333333,4.266666666666667,0.7107344632768361,165.0,13,1.743454860119927,3.0,0.0,1.0,0.0,0,4.266116731110164,2.0,3.25,0.3809523809523809,120.0,7,0.0,4,0.0922222222222222,0,0.0,0,0.0,2,1,0,12.916666666666666,9.066666666666666,14.645795371079927,19.124999999999982,7.354204628920073,2.875000000000014,0.1307692307692307,0.0,0.1289398280802292,0.2256446991404011,226,15.116666666666667,23.0,1.5,0,12.4856516203241,0,-1,4.0,0.0922222222222222,A
681,2025-04-30,7,3645.0,0.4098166765227676,0.5,0.425,0.3302325581395349,9.076700308247007,1.4364667752184552,1.1402757646207489,81.61586874663797,949.0,0.971304816684958,0.2461538461538461,125.00119834710743,949.0,1.2912160409498734,0.3781818181818182,2.1702991452991456,5.0,2.0078393054409323,0.0,0.0947467166979361,0.7692307692307692,1.0081188384853643,0.0,16.3,46.0,8.883333333333333,11.58695652173913,1334.0642068862978,93.0,0.4347826086956521,46,8.883333333333333,11.58695652173913,720.9690683486557,92,0.4347826086956521,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,1,0.0,6.833333333333333,6.833333333333333,0.0,1690,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,5.233333333333333,22.766666666666666,0.1869047619047619,765.0,23.0,0.1289355757727272,5.233333333333333,12.766666666666667,0.2907407407407407,285.0,23,0.1289355757727272,0.0,3.0,0.0,180.0,0,0.0,0.0,7.0,0.0,420.0,0,0.0,6,0.0538888888888888,0,0.0,0,0.0,1,2,3,20.83333333333333,8.766666666666667,13.348284642528771,8.916666666666668,8.651715357471229,13.083333333333332,0.006060606060606,0.0121212121212121,0.1064458900059136,0.2424600827912477,160,16.3,3.033333333333333,4.166666666666667,0,24.28086163992916,0,-1,6.0,0.0538888888888888,A
681,2025-05-15,5,2490.0,0.0292397660818713,0.0,0.0,0.0980392156862745,9.732573788529548,0.3303048499618219,0.1791490952910448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0.5,2.25,0.1818181818181818,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,2.25,0.1818181818181818,75.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,5.416666666666667,-1.0,16.583333333333332,0.0,0.0,0.0,0.9941520467836256,0,-1.0,-1.0,4.0,0,25.52485380116959,0,-1,,,B
681,2025-05-16,7,5700.0,0.5029392553886349,0.4916666666666666,0.2791666666666667,0.4984894259818731,9.336490854380768,1.5658127164302431,1.1527041354235907,330.5449579831932,5746.0,0.6944550906225461,0.3013071895424836,561.3418940609952,5746.0,1.031469932878514,0.5179775280898876,33.91478494623656,48.0,1.844364178225916,0.0,0.0757363253856942,6.967741935483872,0.1393313370576885,0.0,12.45,76.0,7.766666666666667,6.131578947368421,1482.620195755857,203.0,0.5657894736842105,64,5.916666666666667,5.546875,437.55916492156825,189,0.671875,11,1.8333333333333333,10.0,740.2323959406261,11,0.0,1,0.0166666666666666,1.0,1141.8931648801477,3,0.0,8.766666666666667,7.5,0.0,1530,0,0,0,0,0,0,0,0,890,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,17.75,7.5,0.7029702970297029,120.0,23.0,0.0487463187998821,13.0,1.75,0.8813559322033898,45.0,8,0.0581591210103362,2.5,0.5,0.8333333333333334,15.0,3,3.764599511018e-10,2.25,5.25,0.3,120.0,11,0.0495696823000001,3,0.01,0,0.0,1,0.0058333333333333,1,2,1,8.766666666666667,8.85,11.371766782618788,8.250000000000004,10.628233217381212,13.749999999999996,0.0890410958904109,0.0205479452054794,0.1175702155453951,0.3004572175048987,254,12.45,0.45,1.3333333333333333,0,27.588284844484992,0,-1,4.0,0.0158333333333333,B
681,2025-05-17,7,1815.0,0.6113569321533924,0.4833333333333333,0.5208333333333334,0.5705128205128205,9.225572350704292,1.5236362620018038,0.9519642009042684,146.96752767527676,5897.0,0.2284811535893333,0.1653136531365313,221.7302824858757,5897.0,0.3261920497316732,0.2531073446327683,16.165,88.13333333333333,1.4796117038205887,0.0,0.0,0.0,0.0,0.0,10.633333333333333,51.0,6.566666666666666,7.725490196078431,969.773504627528,136.0,0.4901960784313725,49,3.983333333333333,4.877551020408164,738.7204272755596,134,0.5102040816326531,2,2.583333333333333,77.5,4510.620799845627,2,0.0,0,0.0,0.0,0.0,0,0.0,7.833333333333333,9.25,0.0,1355,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,12.75,9.75,0.5666666666666667,135.0,25.0,1.4879446004327683,9.5,5.0,0.6551724137931034,135.0,14,1.996784263848742,1.5,1.5,0.5,60.0,4,1.9176983333333333e-07,1.75,3.25,0.35,105.0,6,0.0010530636000001,5,0.0344444444444444,0,0.0,0,0.0,1,2,2,19.1,10.1,14.913119879046445,20.541666666666664,7.086880120953557,1.4583333333333357,0.0252525252525252,0.0,0.1327433628318584,0.2138643067846607,191,10.633333333333333,0.0,3.0,0,10.6838565221335,0,-1,5.0,0.0344444444444444,B
681,2025-05-18,5,3540.0,0.4018759018759019,0.4166666666666667,0.4708333333333333,0.0510204081632653,9.289927484825292,1.2491383899921051,0.9055802370565535,16.141877256317688,258.0,0.691965122294822,0.0151624548736462,22.05664739884393,258.0,0.8351371337190236,0.0242774566473988,17.82307826694619,70.0,1.7114894638049043,0.0,0.2039585645578986,0.9308176100628932,1.5364299778527588,0.0,14.483333333333333,43.0,6.5,9.069767441860463,2107.857224454416,77.0,0.0232558139534883,38,5.816666666666666,9.18421052631579,1361.3949942155775,63,0.0263157894736842,5,0.6833333333333333,8.2,843.5389112168106,13,0.0,0,0.0,0.0,,1,0.0,8.916666666666666,10.166666666666666,0.0,1385,0,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,13.75,9.0,0.6043956043956044,120.0,23.0,1.6058285520401534,10.0,4.25,0.7017543859649122,120.0,14,0.9228049863054316,2.75,0.25,0.9166666666666666,15.0,2,4.726591304520534,1.0,4.5,0.1818181818181818,105.0,6,0.0247225315,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,21.95983466996968,21.70833333333333,0.040165330030323,0.2916666666666714,0.1515151515151515,0.0151515151515151,0.1298701298701298,0.2453102453102453,108,14.483333333333333,1.55,3.583333333333333,0,2.936449601314599,0,-1,,,B
681,2025-05-24,7,3900.0,0.003831417624521,0.0,0.0,0.0070921985815602,9.776128283725631,0.0476897295328764,0.0251440699125891,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,,,,,,,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,-1.0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0.75,3.5,0.1764705882352941,135.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75,3.5,0.1764705882352941,135.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,-1.0,6.166666666666666,-1.0,15.833333333333334,0.0,0.0,0.0,0.9961685823754788,0,-1.0,-1.0,4.0,0,24.79501915708812,0,-1,,,C
681,2025-05-25,8,6540.0,0.3972413793103448,0.8916666666666667,0.35625,0.104,9.159429944451215,1.3765893155285718,1.0526310628072804,50.34541062801932,446.0,1.0665538753910535,0.2042788129744651,85.26618705035972,446.0,1.552739599360561,0.354916067146283,10.213888888888889,31.0,1.999441270578773,0.0,0.0,0.0,0.0,0.0,13.3,77.0,7.51,5.851948051948052,563.5556064371401,98.0,0.2597402597402597,50,6.003611111111111,7.2043333333333335,602.3381752984445,55,0.4,27,1.506388888888889,3.3475308641975308,459.51395489800825,43,0.0,0,0.0,0.0,0.0,0,0.0,1.3333333333333333,12.533333333333331,14.233333333333333,1449,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,10.998888888888889,13.001666666666669,0.4582764287863706,150.0,36.0,3.521441595454545,6.248888888888889,7.500277777777778,0.4544921914459461,150.0,19,5.007790119999999,2.5,0.5013888888888889,0.8329477093937991,15.0,3,2.97486772,2.25,5.0,0.3103448275862069,105.0,12,8.253803666666666e-27,2,0.015,0,0.0,0,0.0,1,1,0,20.716666666666665,20.58333333333333,20.48232478112353,8.758333333333326,1.5176752188764695,13.241666666666674,0.3439490445859872,0.0,0.1241379310344827,0.3,103,13.3,0.6833333333333333,1.5833333333333337,0,17.759341885543144,0,-1,2.0,0.015,C
681,2025-05-26,6,5415.0,0.3420860685630926,0.2625,0.18125,0.175438596491228,9.365290706743718,1.5777822537683632,0.6644654036230229,170.8631184103812,4935.0,0.4318841685175146,0.2722627737226277,274.5148495944563,4935.0,0.6151633518198322,0.4493975903614458,34.63970588235294,77.0,1.906373472712735,0.0,0.0,0.0,0.0,0.0,12.6,61.0,9.523333333333332,9.367213114754096,1248.2459913169,78.0,0.5245901639344263,53,7.3005555555555555,8.264779874213836,1140.5815773948354,67,0.6037735849056604,8,2.222777777777778,16.670833333333334,1803.7885447817089,11,0.0,0,0.0,0.0,0.0,0,0.0,1.7333333333333334,9.0,5.916666666666667,1370,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,14.250555555555556,8.500277777777777,0.6263751022551067,210.0,23.0,0.1094206016336814,10.500277777777775,3.250277777777778,0.7636257120924408,105.0,9,0.1469167360404074,2.25,0.75,0.75,15.0,6,0.0031911482573336,1.5002777777777778,4.5,0.2500347206147864,210.0,7,4.248511666666666e-05,0,0.0,0,0.0,0,0.0,0,0,0,-1.0,-1.0,16.537261604638957,20.416666666666664,5.462738395361043,1.5833333333333357,0.1269841269841269,0.0,0.1312910284463894,0.2625820568927789,110,12.6,22.883333333333333,1.8333333333333333,0,9.671892297622168,0,-1,,,C
