uid,datetime,type,sub_type,suuid,value,level,sensor_status
685,2025-05-14 12:46:00,calls,1,5b9e76b3-9f84-487d-b2d0-e26056baa14c,11,11.0,INCOMING
685,2025-05-14 12:47:00,calls,2,5b9e76b3-9f84-487d-b2d0-e26056baa14c,0,0.0,OUTGOING
685,2025-05-14 12:48:00,calls,1,5b9e76b3-9f84-487d-b2d0-e26056baa14c,6,6.0,INCOMING
685,2025-05-14 13:39:00,calls,2,ec2051a6-c39e-4fda-86ef-a3fc2e8f1fa2,10,10.0,OUTGOING
687,2025-05-14 13:49:00,calls,2,2db4aa8f-fc12-4235-bef8-ea1563099139,227,227.0,OUTGOING
687,2025-05-14 14:07:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,0,0.0,OUTGOING
687,2025-05-14 14:08:00,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,33,33.0,INCOMING
687,2025-05-14 14:17:00,calls,2,8571057b-a0be-44e1-af63-504ac6f663b5,3,3.0,OUTGOING
687,2025-05-14 14:18:00,calls,2,1d9e79e4-457a-4029-872e-3187a5726d71,45,45.0,OUTGOING
678,2025-05-14 14:19:00,calls,3,802cd306-038c-46b7-bee0-6ec6d31538f9,0,0.0,MISSED
678,2025-05-14 14:41:00,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,158,158.0,OUTGOING
687,2025-05-14 14:51:00,calls,2,5c2573e9-1007-4891-92d4-b5e7396e2802,0,0.0,OUTGOING
687,2025-05-14 14:52:00,calls,2,880dae81-8b14-44d1-bced-bd6facdfc62e,14,14.0,OUTGOING
687,2025-05-14 15:08:00,calls,1,0e9cf322-1e7c-4fd2-8e8e-1d74565f3e8d,172,172.0,INCOMING
687,2025-05-14 15:13:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,248,248.0,OUTGOING
687,2025-05-14 15:19:00,calls,2,50e93d20-2f9d-40da-a737-a4ef03c60724,0,0.0,OUTGOING
687,2025-05-14 15:23:00,calls,1,50e93d20-2f9d-40da-a737-a4ef03c60724,9,9.0,INCOMING
687,2025-05-14 15:23:00,calls,3,50e93d20-2f9d-40da-a737-a4ef03c60724,0,0.0,MISSED
