uid,datetime,type,sub_type,suuid,value,level,sensor_status
685,2025-05-29 13:18:51,calls,3,fd545ff8-6a44-4702-9824-4da3cc2b20e5,36,36.0,MISSED
685,2025-05-29 13:32:06,calls,2,fd545ff8-6a44-4702-9824-4da3cc2b20e5,209,209.0,OUTGOING
668,2025-05-29 14:20:45,calls,1,dce20436-bff2-4396-aa12-85d5a29574d0,17,17.0,INCOMING
678,2025-05-29 14:28:12,calls,3,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,0,0.0,MISSED
678,2025-05-29 14:31:50,calls,1,802cd306-038c-46b7-bee0-6ec6d31538f9,48,48.0,INCOMING
685,2025-05-29 15:01:46,calls,3,402f92b1-5b39-4f39-95d3-f63038468ccf,31,31.0,MISSED
676,2025-05-29 15:22:32,calls,2,4338fe99-84d9-4a16-94fc-a00d7d1af732,245,245.0,OUTGOING
678,2025-05-29 16:03:31,calls,1,47d7d32c-c59d-493c-94d8-6ea41f18d163,12,12.0,INCOMING
678,2025-05-29 18:01:30,calls,2,802cd306-038c-46b7-bee0-6ec6d31538f9,113,113.0,OUTGOING
678,2025-05-29 18:03:45,calls,2,ff9eb867-cd35-4f7e-93fc-5c8fa6d15ab2,829,829.0,OUTGOING
678,2025-05-29 18:18:24,calls,2,3fc2b1a1-5b57-46cc-8d40-6045a8967be1,522,522.0,OUTGOING
681,2025-05-29 18:25:12,calls,2,6a9918e7-e9db-48e5-860c-6da4908dd884,25,25.0,OUTGOING
681,2025-05-29 18:32:39,calls,1,6a9918e7-e9db-48e5-860c-6da4908dd884,12,12.0,INCOMING
681,2025-05-29 18:44:25,calls,2,6a9918e7-e9db-48e5-860c-6da4908dd884,21,21.0,OUTGOING
681,2025-05-29 18:46:00,calls,2,6a9918e7-e9db-48e5-860c-6da4908dd884,0,0.0,OUTGOING
685,2025-05-29 18:58:20,calls,3,c0d38da3-f9ab-4fae-a0fb-183fcb0f3026,12,12.0,MISSED
676,2025-05-29 19:10:43,calls,2,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,29,29.0,OUTGOING
676,2025-05-29 19:11:58,calls,2,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,38,38.0,OUTGOING
676,2025-05-29 19:14:06,calls,1,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,50,50.0,INCOMING
685,2025-05-29 19:25:45,calls,2,c0d38da3-f9ab-4fae-a0fb-183fcb0f3026,91,91.0,OUTGOING
668,2025-05-29 21:14:10,calls,1,98a2a78e-b9d3-4c12-a461-b34fb7cdf7e5,33,33.0,INCOMING
676,2025-05-29 21:28:04,calls,2,72b4bdf3-11ef-4007-a3b1-3b17b95190fa,21,21.0,OUTGOING
