datetime,level,uid,type
2025-05-22 04:26:00,-70.55555555555556,668,wifi
2025-05-22 04:27:00,-70.74037037037037,668,wifi
2025-05-22 04:28:00,-70.92518518518519,668,wifi
2025-05-22 04:29:00,-71.11,668,wifi
2025-05-22 04:30:00,-71.29481481481481,668,wifi
2025-05-22 04:31:00,-71.47962962962963,668,wifi
2025-05-22 04:32:00,-71.66444444444444,668,wifi
2025-05-22 04:33:00,-71.84925925925926,668,wifi
2025-05-22 04:34:00,-72.03407407407407,668,wifi
2025-05-22 04:35:00,-72.21888888888888,668,wifi
2025-05-22 04:36:00,-72.4037037037037,668,wifi
2025-05-22 04:37:00,-72.58851851851851,668,wifi
2025-05-22 04:38:00,-72.77333333333333,668,wifi
2025-05-22 04:39:00,-72.95814814814814,668,wifi
2025-05-22 04:40:00,-73.14296296296295,668,wifi
2025-05-22 04:41:00,-73.32777777777778,668,wifi
2025-05-22 04:42:00,-73.5125925925926,668,wifi
2025-05-22 04:43:00,-73.69740740740741,668,wifi
2025-05-22 04:44:00,-73.88222222222223,668,wifi
2025-05-22 04:45:00,-74.06703703703704,668,wifi
2025-05-22 04:46:00,-74.25185185185185,668,wifi
2025-05-22 04:47:00,-74.43666666666667,668,wifi
2025-05-22 04:48:00,-74.62148148148148,668,wifi
2025-05-22 04:49:00,-74.8062962962963,668,wifi
2025-05-22 04:50:00,-74.99111111111111,668,wifi
2025-05-22 04:51:00,-75.17592592592592,668,wifi
2025-05-22 04:52:00,-75.36074074074074,668,wifi
2025-05-22 04:53:00,-75.54555555555555,668,wifi
2025-05-22 04:54:00,-75.73037037037037,668,wifi
2025-05-22 04:55:00,-75.91518518518518,668,wifi
2025-05-22 04:56:00,-76.1,668,wifi
2025-05-22 04:57:00,-76.02678571428571,668,wifi
2025-05-22 04:58:00,-75.95357142857142,668,wifi
2025-05-22 04:59:00,-75.88035714285714,668,wifi
2025-05-22 05:00:00,-75.80714285714285,668,wifi
2025-05-22 05:01:00,-75.73392857142856,668,wifi
2025-05-22 05:02:00,-75.66071428571428,668,wifi
2025-05-22 05:03:00,-75.58749999999999,668,wifi
