wifi_scans_day,light_last_peak_time,sleep_quality,light_entropy_sleep,light_peak_hour_sleep,wifi_scans_sleep
0.2211380058553508,0.5588153261025096,7,,,
0.626192769055746,1.495402360227807,7,,,
0.1598324200736694,-0.3150338205694188,7,,,
-1.9026626444386123,-1.6325294570901725,6,,,
0.92177327193171,0.0613935041507965,8,,,
0.440086526504213,0.1330939469546468,4,,,
0.7203406329347567,0.7380664331121357,9,,,
-1.9026626444386123,-1.6325294570901725,5,,,
-0.1291796271828287,-0.5032474829295267,7,,,
0.8451412897046081,1.096568647131389,9,,,
,,7,-2.247796366535374,-1.857587441418057,1.6406418747791116
,,7,0.5808926497342461,0.1615293427320052,-0.4693699851730267
,,7,0.585591633219657,-1.4455227915915143,2.1143180066051017
,,6,0.5639347194595904,0.3675616676452766,-0.856923183939746
,,8,0.5859823531453748,1.1092780373330549,-0.5985543847619331
,,4,0.5859823531453748,0.3675616676452766,-0.6846773178212041
,,9,-1.5962498796600737,1.3894819992151046,-0.4693699851730267
,,5,0.5859823531453748,-0.7862193518690448,0.0904290797122345
,,5,0.5700399555652619,0.0791164127666964,-0.8999846504693815
,,9,-0.2143597712194236,0.6148004575412027,0.1334905462418699
,,7,,,
,,7,,,
,,7,,,
,,6,,,
,,8,,,
,,4,,,
,,9,,,
,,5,,,
,,5,,,
,,7,,,
