light_entropy_day,location_mobility_duration_sleep,light_entropy_sleep,screen_sleep_ratio,sleep_quality,wifi_scans_full_window
-0.96142452088917,-0.5699064589141294,0.5471904315236139,-0.4714816365301271,6,
-0.0259464992831619,0.5519021236385921,0.1528156639011023,-0.4714816365301271,8,
-0.5515816412104633,-0.553287072505941,-0.2241198551799428,-0.4613812328548831,6,
-0.96142452088917,0.5519021236385921,0.583873267433889,2.235426548435348,8,
0.8617412529126213,0.0117720653724669,0.0334501472430382,-0.4714816365301271,7,
2.7055762338817995,-1.409185472527647,0.7304219887843166,-0.4714816365301271,8,
-0.395993380238837,0.6765475217000056,-0.6322981382661602,-0.4235717571502074,6,
-0.96142452088917,-1.4191571043725602,0.2678672993473147,2.235426548435348,6,
0.5576236051814727,2.2967992016116465,-0.4866881040877847,-0.418663915847874,8,
-0.4484422586849321,-0.8675319705074379,2.193673387862659,-0.4601080727277512,7,
-0.2043458859536586,0.4273952204639136,-1.2525874725718151,-0.417879494253583,6,
0.3856421360626701,0.3027498224025001,-1.9135986159902303,-0.4033220779158886,6,
-1.0006047435378589,,,,6,-1.778137689506028
-0.0656566755715257,,,,8,0.495468593821341
-0.5909940421901915,,,,6,0.3432606417994251
-1.0006047435378589,,,,8,-1.4737217854621962
0.8215281964450272,,,,7,0.3337476447980553
2.664318634371444,,,,8,0.3527736388007949
-0.4354939228566243,,,,6,0.0293317407542235
-1.0006047435378589,,,,6,-1.549825761473154
0.5175828330974581,,,,8,0.3337476447980553
-0.4879130887136607,,,,7,1.132839392913114
0.2327435035689348,,,,10,1.4753072849624247
0.3456987924627152,,,,6,0.3052086537939461
-0.9550137464351512,-0.5862278917399297,,,6,
-0.0165804376716989,0.5254731984177335,,,8,
-0.5438761239929478,-0.5697582459598163,,,6,
-0.9550137464351512,0.5254731984177335,,,8,
0.8739116264943225,-0.0097902894359562,,,7,
2.723571503093169,-1.417945003635663,,,8,
-0.3877963410626238,0.6489955417685851,,,6,
-0.9550137464351512,-1.427826791103731,,,6,
0.5688332346751953,2.254648758281487,,,8,
-0.4404109118000546,-0.8811717982521295,,,7,
0.2829320989502528,0.5360412211266397,,,10,
-0.1955434093801616,0.4020881021150497,,,6,
