wifi_scans_pre_sleep,location_mobility_duration_sleep,calls_duration_day,sleep_quality,calls_duration_pre_sleep,screen_first_on_time_day
-1.5275252316519463,0.5509434099434803,-1.1988893469099535,5,,
0.6546536707079771,-0.2191580366868938,-0.7654329688268142,5,,
0.6546536707079771,-0.2833331572394252,1.8506037600749567,5,,
0.6546536707079771,0.8718190127061365,0.2136684969609827,4,,
0.6546536707079771,0.7434687716010742,1.473241736802576,5,,
0.6546536707079771,0.6151185304960117,-0.7144381008170345,5,,
-1.5275252316519463,-1.310135086079924,-0.224887367923135,6,,
-1.5275252316519463,-1.310135086079924,-1.1988893469099535,7,,
0.6546536707079771,-1.310135086079924,0.5808315466314068,5,,
0.6546536707079771,1.651546727419391,-0.0158084090830322,5,,
,,,5,-0.3962041459632064,-1.947849447628201
,,,5,-0.3962041459632064,0.1593883182437528
,,,5,-0.3962041459632064,0.4740249984132391
,,,4,0.2208350977499814,0.7017225959043145
,,,5,-0.3962041459632064,0.5568241247736303
,,,5,-0.3962041459632064,0.436765391551063
,,,6,-0.3962041459632064,0.3870859157348285
,,,7,-0.3962041459632064,-1.947849447628201
,,,3,2.94879806995567,0.9915195381656836
,,,5,-0.3962041459632064,0.1883680124698896
,,,5,-0.4110016663774808,
,,,5,-0.4110016663774808,
,,,5,-0.4110016663774808,
,,,4,0.2087627511758609,
,,,5,-0.4110016663774808,
,,,5,-0.4110016663774808,
,,,6,-0.4110016663774808,
,,,7,-0.4110016663774808,
,,,3,2.948773860359072,
,,,5,-0.2805249468925673,
