screen_cluster_count_pre_sleep,calls_total_sleep,light_max_sleep,sleep_quality,calls_last_call_time,light_entropy_sleep
-0.8811976250843205,-0.3333333333333333,-0.6163916589256077,6,,
2.2753311811878723,-0.3333333333333333,-0.2711414135765174,5,,
-0.8811976250843205,-0.3333333333333333,-0.2327802752043963,7,,
-0.8811976250843205,-0.3333333333333333,-0.6163916589256077,5,,
0.5655447444571012,3.0,2.858385003942656,7,,
-0.6181535578949711,-0.3333333333333333,-0.6163916589256077,7,,
0.8285888116464506,-0.3333333333333333,-0.1521977581208209,5,,
-0.8811976250843205,-0.3333333333333333,-0.1176968600880328,7,,
0.5655447444571012,-0.3333333333333333,-0.6163916589256077,6,,
-0.0920654235162723,-0.3333333333333333,0.3809979387495419,6,,
,,,6,-1.134630153463463,-0.7321631218800155
,,,5,0.3135755606025591,0.0321223190874619
,,,7,1.1374051584245477,0.6322345038314039
,,,5,-1.134630153463463,-0.7321631218800155
,,,7,-0.1182845864662306,-0.5435907649202685
,,,7,0.9570298359540494,-0.7321631218800155
,,,5,-1.134630153463463,1.3472558253977829
,,,7,-1.134630153463463,-0.7321631218800155
,,,8,1.1252645117198026,-0.7321631218800155
,,,6,1.1235301336191248,2.192793726003699
,,,6,-0.9316816654785915,
,,,5,0.5529637365722176,
,,,7,1.397522498217887,
,,,5,-0.9316816654785915,
,,,7,0.1102371436253297,
,,,7,1.2126085798786257,
,,,5,-0.9316816654785915,
,,,7,-0.9316816654785915,
,,,8,1.3850763690988988,
,,,6,-0.9316816654785915,
