screen_gap_before_sleep,screen_inter_event_std_pre_sleep,location_max_still_duration_sleep,sleep_quality,accel_entropy,calls_num_outgoing
0.316227766016838,-0.5114324700489313,-0.7130682160003965,7,,
0.316227766016838,1.2752618211641822,-0.4181170464044186,8,,
0.316227766016838,-0.4378082949886633,0.6352799878669311,8,,
0.316227766016838,-0.6213265580747341,-0.7692493911615352,8,,
-3.16227766016838,-1.1762267104431705,-1.8928728943843085,7,,
0.316227766016838,-0.6353328808636544,1.1783646810912711,8,,
0.316227766016838,-0.2473152476336503,1.253272914639456,8,,
0.316227766016838,-0.2070255186753382,0.7289152798021621,8,,
0.316227766016838,0.3547284380600324,1.1733707988547255,8,,
0.316227766016838,2.532073237490034,-0.2881980788442855,8,,
0.316227766016838,-0.3255958159861049,-0.8876980354596026,8,,
,,,7,-0.8058500841733075,-0.5656854249492381
,,,8,0.6121400834249889,-0.5656854249492381
,,,8,0.9768903687676238,-0.5656854249492381
,,,8,0.4193270686077706,0.9899494936611666
,,,7,-2.382826618052419,-0.5656854249492381
,,,8,0.8092727607224132,0.9899494936611666
,,,8,0.9978997501828836,-0.5656854249492381
,,,8,0.8298081807904754,-0.5656854249492381
,,,8,-0.3274570061878227,-0.5656854249492381
,,,7,-0.769285005166974,-0.5656854249492381
,,,8,-0.3599194989156337,2.545584412271571
,,,7,-0.8874019567274611,
,,,8,0.520986501106452,
,,,8,0.8832669340789059,
,,,8,0.329479090974918,
,,,7,-2.453700228281809,
,,,8,0.7167843237654328,
,,,8,0.9041340535890496,
,,,8,0.7371806912872301,
,,,8,-0.412248246399854,
,,,7,-0.8510844727215394,
,,,8,0.5126033093286753,
