calls_total_pre_sleep,sleep_quality,circadian_disruption_score,circadian_screen_misalignment,light_entropy_sleep,location_max_still_duration_sleep
-0.7808688094430305,8,,,,
0.078086880944303,7,,,,
0.078086880944303,6,,,,
-0.7808688094430305,4,,,,
2.6549539521063035,10,,,,
-0.7808688094430305,4,,,,
-0.7808688094430305,3,,,,
-0.7808688094430305,4,,,,
0.078086880944303,8,,,,
0.9370425713316364,5,,,,
0.078086880944303,5,,,,
-0.6405126152203486,8,1.6133702149639948,1.4465632257307277,0.326927772669675,-0.4898009589242363
0.2401922307076307,7,-0.601176979893587,0.2535818736452522,-0.4875687183634594,1.4972008311080096
0.2401922307076307,6,0.2942705934879984,-0.1444907225928787,-0.5338387991155891,1.248825607353979
-0.6405126152203486,4,1.5604427265915406,1.4551636108206625,2.462256221475634,-1.4005101126890158
2.8823067684915684,10,0.4444647087792598,0.2513658707629428,-0.3780392527513576,0.7148188762828128
-0.6405126152203486,4,-1.0096954557533544,-0.3595015931759568,-0.4238630345948174,-0.986551406432298
-0.6405126152203486,3,-1.4107922675782496,-1.3343222919288764,0.7305287407953676,0.0731828815849
-0.6405126152203486,4,0.2487467894488531,-1.78105605645302,-1.4394968088957258,-1.5714750583730404
0.2401922307076307,8,0.6757462215878379,0.9192197391739106,-0.6412779558388524,-0.1119946463472718
-0.6405126152203486,3,-1.1726161497827727,-0.8355567302994416,0.8608413927822282,0.0135728278839327
0.2401922307076307,5,-0.6427604018515195,0.1290330743166775,-0.4764695581631015,1.012731158552231
-0.686243566496721,8,1.5510673292487942,,,
0.1524985703326046,7,-0.7031624878518787,,,
0.1524985703326046,6,0.2083306716772979,,,
-0.686243566496721,4,1.4971914296019102,,,
2.6687249808205813,10,0.3612161255654871,,,
-0.686243566496721,4,-1.1190012341463924,,,
-0.686243566496721,3,-1.5272853271019475,,,
-0.686243566496721,4,0.1619911234883107,,,
0.1524985703326046,8,0.5966419875782301,,,
-0.686243566496721,3,-1.2848413152052518,,,
0.99124070716193,5,0.2578516971454409,,,
