light_entropy_sleep,light_peak_hour_sleep,wifi_scans_sleep,location_immobility_duration_sleep,accel_mean_mag,calls_num_incoming,sleep_quality,uid,label_date
-2.247796366535374,-1.8575874414180575,1.6406418747791116,0.2202345701178412,-0.6391694052677763,0.9959431881428265,7,687,2025-04-29
0.5808926497342461,0.1615293427320052,-0.4693699851730267,-1.81096385624654,-0.1647166067031631,1.991886376285653,7,687,2025-04-30
0.585591633219657,-1.4455227915915143,2.1143180066051017,0.8973007122393016,-0.9564191823802792,1.2804983847550624,7,687,2025-05-01
0.5639347194595904,0.3675616676452766,-0.856923183939746,-0.9082090000845928,2.069283009822904,-0.9959431881428265,6,687,2025-05-15
0.5859823531453748,1.1092780373330549,-0.5985543847619331,-0.0505918867307428,-1.327660920524011,0.0,8,687,2025-05-16
0.5859823531453748,0.3675616676452766,-0.6846773178212041,-0.4116938291955216,-0.4197582918058636,-0.5691103932244722,4,687,2025-05-17
-1.5962498796600737,1.3894819992151046,-0.4693699851730267,0.6941808696028636,-0.2530876417560966,-0.7113879915305903,9,687,2025-05-18
0.5859823531453748,-0.7862193518690448,0.0904290797122345,1.0970352241651324,1.1985088926400267,-0.9959431881428265,5,687,2025-05-24
0.5700399555652619,0.0791164127666964,-0.8999846504693815,-1.1180995041422457,0.8816357250976277,-0.7113879915305903,5,687,2025-05-25
-0.2143597712194236,0.6148004575412027,0.1334905462418699,1.3908067002745002,-0.388615579123368,-0.2845551966122361,9,687,2025-05-27
