light_entropy_day,accel_morning_movement_ratio,location_mobility_duration_sleep,circadian_light_center,sleep_quality,uid,label_date
-0.9550137464351512,-1.0568149412347885,-0.5862278917399297,-1.3174196255482322,6,685,2025-04-28
-0.0165804376716989,0.6465827607887149,0.5254731984177335,0.7612978131720548,8,685,2025-04-29
-0.5438761239929478,0.6198418235512976,-0.5697582459598163,0.8092221345258375,6,685,2025-04-30
-0.9550137464351512,-0.0935840978286403,0.5254731984177335,-1.125722340133105,8,685,2025-05-15
0.8739116264943225,0.636679285776951,-0.0097902894359562,0.8032315943566141,7,685,2025-05-16
2.723571503093169,1.3271813961954282,-1.417945003635663,0.743326192664387,8,685,2025-05-17
-0.3877963410626238,-1.0568149412347885,0.6489955417685851,0.9709667190948512,6,685,2025-05-18
-0.9550137464351512,-1.0174100430954467,-1.427826791103731,-1.1736466614868866,6,685,2025-05-24
0.5688332346751953,-1.0568149412347885,2.254648758281487,0.9110613174026232,8,685,2025-05-25
-0.4404109118000546,1.8595516738779805,-0.8811717982521295,-0.7063845282875139,7,685,2025-05-26
0.2829320989502528,0.2484169656728681,0.5360412211266397,-1.497135830624914,10,685,2025-05-27
-0.1955434093801616,-1.0568149412347885,0.4020881021150497,0.8212032148642823,6,685,2025-05-28
