light_entropy_sleep,light_entropy_day,location_mobility_duration_sleep,screen_sleep_ratio,sleep_quality,uid,label_date
0.5471904315236139,-0.96142452088917,-0.5699064589141294,-0.4714816365301271,6,685,2025-04-28
0.1528156639011023,-0.0259464992831619,0.5519021236385921,-0.4714816365301271,8,685,2025-04-29
-0.2241198551799428,-0.5515816412104633,-0.553287072505941,-0.4613812328548831,6,685,2025-04-30
0.583873267433889,-0.96142452088917,0.5519021236385921,2.235426548435348,8,685,2025-05-15
0.0334501472430382,0.8617412529126213,0.0117720653724669,-0.4714816365301271,7,685,2025-05-16
0.7304219887843166,2.7055762338817995,-1.409185472527647,-0.4714816365301271,8,685,2025-05-17
-0.6322981382661602,-0.395993380238837,0.6765475217000056,-0.4235717571502074,6,685,2025-05-18
0.2678672993473147,-0.96142452088917,-1.4191571043725602,2.235426548435348,6,685,2025-05-24
-0.4866881040877847,0.5576236051814727,2.2967992016116465,-0.418663915847874,8,685,2025-05-25
2.193673387862659,-0.4484422586849321,-0.8675319705074379,-0.4601080727277512,7,685,2025-05-26
-1.2525874725718151,-0.2043458859536586,0.4273952204639136,-0.417879494253583,6,685,2025-05-28
-1.9135986159902303,0.3856421360626701,0.3027498224025001,-0.4033220779158886,6,685,2025-05-29
