accel_entropy,accel_std_mag,sleep_quality,uid,label_date
-0.8874019567274611,0.385612247806567,7,668,2025-04-28
0.520986501106452,0.5179605708497405,8,668,2025-04-29
0.8832669340789059,-0.7338758345153871,8,668,2025-04-30
0.329479090974918,-0.1174153030589749,8,668,2025-05-01
-2.453700228281809,-2.284485409515888,7,668,2025-05-15
0.7167843237654328,-0.2447672543415303,8,668,2025-05-16
0.9041340535890496,0.8045621436321195,8,668,2025-05-17
0.7371806912872301,1.208684161796974,8,668,2025-05-18
-0.412248246399854,-1.1062457601623503,8,668,2025-05-24
-0.8510844727215394,0.4788362049783803,7,668,2025-05-25
0.5126033093286753,1.091134232530347,8,668,2025-05-26
