wifi_scans_pre_sleep,location_mobility_duration_sleep,calls_duration_day,sleep_quality,uid,label_date
-1.5275252316519463,0.5509434099434803,-1.1988893469099535,5,676,2025-04-28
0.6546536707079771,-0.2191580366868938,-0.7654329688268142,5,676,2025-04-29
0.6546536707079771,-0.2833331572394252,1.8506037600749567,5,676,2025-04-30
0.6546536707079771,0.8718190127061365,0.2136684969609827,4,676,2025-05-01
0.6546536707079771,0.7434687716010742,1.473241736802576,5,676,2025-05-14
0.6546536707079771,0.6151185304960117,-0.7144381008170345,5,676,2025-05-15
-1.5275252316519463,-1.310135086079924,-0.224887367923135,6,676,2025-05-16
-1.5275252316519463,-1.310135086079924,-1.1988893469099535,7,676,2025-05-26
0.6546536707079771,-1.310135086079924,0.5808315466314068,5,676,2025-05-28
0.6546536707079771,1.651546727419391,-0.0158084090830322,5,676,2025-05-29
