location_immobility_duration_full_window,location_max_still_duration_sleep,location_avg_speed_day,calls_total_pre_sleep,calls_num_incoming,sleep_quality,uid,label_date
-1.2455923177592287,-1.089574704394601,-0.7362945267405575,-0.3574356618552919,-0.5121475197315839,6,670,2025-04-28
-0.5247676437419165,-0.2613104555141412,2.0497387850680804,-0.3574356618552919,-0.5121475197315839,7,670,2025-04-29
-0.2820900034894214,-0.2697621315231255,0.2756580511438443,-0.3574356618552919,0.1920553198993439,8,670,2025-04-30
0.2152790215825238,0.9557308897795956,1.1010205528250354,-0.3574356618552919,0.1920553198993439,4,670,2025-05-01
-1.3128692873341778,-1.3262216326461609,-0.7362945267405575,-0.3574356618552919,-0.5121475197315839,7,670,2025-05-15
1.0538383923559973,1.750188434624118,-0.7362945267405575,0.0794301470789537,0.1920553198993439,5,670,2025-05-16
1.5512074174279429,1.090957705923344,-0.7362945267405575,-0.3574356618552919,-0.5121475197315839,3,670,2025-05-17
1.3397655130495307,-0.5655707918375754,-0.7362945267405575,-0.3574356618552919,-0.5121475197315839,5,670,2025-05-18
-1.3128692873341778,-1.3262216326461609,-0.7362945267405575,-0.3574356618552919,-0.5121475197315839,7,670,2025-05-24
0.536486505487683,0.7706391851828397,-0.444051757742045,-0.3574356618552919,-0.5121475197315839,5,670,2025-05-25
-0.0183883102447548,0.2711451330518686,1.4354015291484317,3.137490809618673,3.0088666784230558,10,670,2025-05-27
