location_immobility_duration_full_window,location_avg_speed_day,location_max_still_duration_sleep,calls_duration_pre_sleep,calls_num_incoming,sleep_quality,uid,label_date
-1.2060829332304412,-0.7561492172464614,-0.9998083889469233,-0.4132597914197132,-0.5833833511969481,6,670,2025-04-28
-0.4746959859192574,1.090922121712284,-0.1516641374834105,-0.4132597914197132,-0.5833833511969481,7,670,2025-04-29
-0.2284623803244921,-0.0852496285468985,-0.1603186706616096,-0.4132597914197132,0.1296407447104328,8,670,2025-04-30
0.2761946133202246,0.4619453438337224,1.094588640177261,-0.4132597914197132,0.1296407447104328,4,670,2025-05-01
-1.2743457149794852,-0.7561492172464614,-1.2421353179364982,-0.4132597914197132,-0.5833833511969481,7,670,2025-05-15
1.1270414286922354,-0.7561492172464614,1.9081147589279772,-0.2156138042189826,0.1296407447104328,5,670,2025-05-16
1.6316984223369522,-0.7561492172464614,1.233061171028447,-0.4132597914197132,-0.5833833511969481,3,670,2025-05-17
1.4171582511256713,-0.7561492172464614,-0.4632273318985784,-0.4132597914197132,-0.5833833511969481,5,670,2025-05-18
-1.2743457149794852,-0.7561492172464614,-1.2421353179364982,-0.4132597914197132,-0.5833833511969481,7,670,2025-05-24
-0.0332633306087741,2.385645786361956,-0.3700468580133012,0.4596766520501877,0.1296407447104328,7,670,2025-05-26
0.0391033445668491,0.6836316801177051,0.3935714527431334,3.0620154835265003,2.9817371283399563,10,670,2025-05-27
