wifi_scans_day,light_last_peak_time,sleep_quality,uid,label_date
0.2211380058553508,0.5588153261025096,7,687,2025-04-29
0.626192769055746,1.495402360227807,7,687,2025-04-30
0.1598324200736694,-0.3150338205694188,7,687,2025-05-01
-1.9026626444386123,-1.6325294570901725,6,687,2025-05-15
0.92177327193171,0.0613935041507965,8,687,2025-05-16
0.440086526504213,0.1330939469546468,4,687,2025-05-17
0.7203406329347567,0.7380664331121357,9,687,2025-05-18
-1.9026626444386123,-1.6325294570901725,5,687,2025-05-24
-0.1291796271828287,-0.5032474829295267,7,687,2025-05-26
0.8451412897046081,1.096568647131389,9,687,2025-05-27
