calls_last_call_time,light_entropy_sleep,sleep_quality,uid,label_date
-1.134630153463463,-0.7321631218800155,6,681,2025-04-28
0.3135755606025591,0.0321223190874619,5,681,2025-04-29
1.1374051584245477,0.6322345038314039,7,681,2025-04-30
-1.134630153463463,-0.7321631218800155,5,681,2025-05-15
-0.1182845864662306,-0.5435907649202685,7,681,2025-05-16
0.9570298359540494,-0.7321631218800155,7,681,2025-05-17
-1.134630153463463,1.3472558253977829,5,681,2025-05-18
-1.134630153463463,-0.7321631218800155,7,681,2025-05-24
1.1252645117198026,-0.7321631218800155,8,681,2025-05-25
1.1235301336191248,2.192793726003699,6,681,2025-05-27
