accel_entropy,calls_num_outgoing,sleep_quality,uid,label_date
-0.8058500841733075,-0.5656854249492381,7,668,2025-04-28
0.6121400834249889,-0.5656854249492381,8,668,2025-04-29
0.9768903687676238,-0.5656854249492381,8,668,2025-04-30
0.4193270686077706,0.9899494936611666,8,668,2025-05-01
-2.382826618052419,-0.5656854249492381,7,668,2025-05-15
0.8092727607224132,0.9899494936611666,8,668,2025-05-16
0.9978997501828836,-0.5656854249492381,8,668,2025-05-17
0.8298081807904754,-0.5656854249492381,8,668,2025-05-18
-0.3274570061878227,-0.5656854249492381,8,668,2025-05-24
-0.769285005166974,-0.5656854249492381,7,668,2025-05-25
-0.3599194989156337,2.545584412271571,8,668,2025-05-27
