circadian_disruption_score,calls_total_pre_sleep,location_max_still_duration_pre_sleep,accel_mean_mag,sleep_quality,uid,label_date
1.5510673292487942,-0.686243566496721,-1.4011284147709624,1.5576105112944634,8,678,2025-04-28
-0.7031624878518787,0.1524985703326046,-0.8091781179147114,-1.4608492626045353,7,678,2025-04-29
0.2083306716772979,0.1524985703326046,-0.8091781179147114,-0.2667124660985608,6,678,2025-04-30
1.4971914296019102,-0.686243566496721,-0.3948129101153357,1.2715893062373147,4,678,2025-05-15
0.3612161255654871,2.6687249808205813,-0.1383011148109603,-0.5779251873769711,10,678,2025-05-16
-1.1190012341463924,-0.686243566496721,1.5586230695102925,-1.4400132703230462,4,678,2025-05-17
-1.5272853271019475,-0.686243566496721,0.7397584921924787,0.1541895948846055,3,678,2025-05-18
0.1619911234883107,-0.686243566496721,-1.4011284147709624,1.427909584994921,4,678,2025-05-23
0.5966419875782301,0.1524985703326046,0.4694345232947907,-0.4736192550271387,8,678,2025-05-24
-1.2848413152052518,-0.686243566496721,1.132418855773792,0.0427921487315562,3,678,2025-05-25
0.2578516971454409,0.99124070716193,1.053492149526292,-0.2349717047126381,5,678,2025-05-26
