calls_duration_pre_sleep,screen_last_on_time,screen_total_duration_pre_sleep,light_peak_hour_day,location_mobility_ratio_sleep,light_peak_hour_pre_sleep,sleep_quality,uid,label_date
-0.4110016663774808,-0.8762887754506286,-1.146469430265437,-1.7800205135534644,2.285209631013397,-0.6423664141893272,5,676,2025-04-28
-0.4110016663774808,0.3817139784776732,1.2945938120436484,-0.3054324931835762,-0.2320979172413515,-0.3454269951082455,5,676,2025-04-29
-0.4110016663774808,0.5135047431749238,-1.1215606216704466,1.1416165318992684,-0.269082648207798,-0.4487919827630524,5,676,2025-04-30
0.2087627511758609,0.317016693989932,-0.3742963638207263,0.2503545026094888,0.850089688985687,-0.4957760680606919,4,676,2025-05-01
-0.4110016663774808,0.2619041923892635,0.2484238510540401,-0.0325460853392335,0.4661445580744126,-0.4262396218201855,5,676,2025-05-14
-0.4110016663774808,-0.7612713808057553,0.0242445736991242,0.6258862565237219,0.4871075666937023,-0.4675856168821082,5,676,2025-05-15
-0.4110016663774808,-0.6246882246649682,-0.5237492153906703,0.2603686827138683,-1.043192062514546,2.127815254959497,6,676,2025-05-16
-0.4110016663774808,-0.8762887754506286,-1.146469430265437,-1.7800205135534644,-1.043192062514546,-0.6423664141893272,7,676,2025-05-26
2.948773860359072,2.49515860507722,1.6827560793155862,1.274304418282297,-0.4577946917744134,1.849669469997472,3,676,2025-05-27
-0.2805249468925673,-0.8307610567370329,1.0625267453003189,0.3454892136010944,-1.043192062514546,-0.5089316119440309,5,676,2025-05-28
