screen_gap_before_sleep,screen_inter_event_std_pre_sleep,location_max_still_duration_sleep,sleep_quality,uid,label_date
0.316227766016838,-0.5114324700489313,-0.7130682160003965,7,668,2025-04-28
0.316227766016838,1.2752618211641822,-0.4181170464044186,8,668,2025-04-29
0.316227766016838,-0.4378082949886633,0.6352799878669311,8,668,2025-04-30
0.316227766016838,-0.6213265580747341,-0.7692493911615352,8,668,2025-05-01
-3.16227766016838,-1.1762267104431705,-1.8928728943843085,7,668,2025-05-15
0.316227766016838,-0.6353328808636544,1.1783646810912711,8,668,2025-05-16
0.316227766016838,-0.2473152476336503,1.253272914639456,8,668,2025-05-17
0.316227766016838,-0.2070255186753382,0.7289152798021621,8,668,2025-05-18
0.316227766016838,0.3547284380600324,1.1733707988547255,8,668,2025-05-24
0.316227766016838,2.532073237490034,-0.2881980788442855,8,668,2025-05-26
0.316227766016838,-0.3255958159861049,-0.8876980354596026,8,668,2025-05-27
