wifi_scans_full_window,location_mobility_duration_full_window,light_entropy_day,wifi_scans_pre_sleep,light_sleep_ratio,sleep_quality,uid,label_date
-1.778137689506028,-1.5923143592516946,-1.0006047435378589,-1.7320508075688772,1.6816704339920272,6,685,2025-04-28
0.495468593821341,0.0796038603865589,-0.0656566755715257,0.5773502691896257,-0.613853115634361,8,685,2025-04-29
0.3432606417994251,0.0108299194369004,-0.5909940421901915,0.5773502691896257,-0.5719841604573747,6,685,2025-04-30
-1.4737217854621962,-1.2721598065550077,-1.0006047435378589,-1.7320508075688772,1.6897552879071165,8,685,2025-05-15
0.3337476447980553,0.5301917493670814,0.8215281964450272,0.5773502691896257,-0.5575763407592321,7,685,2025-05-16
0.3527736388007949,0.2313808335168401,2.664318634371444,0.5773502691896257,-0.9321328928526798,8,685,2025-05-17
0.0293317407542235,0.1151765884639686,-0.4354939228566243,0.5773502691896257,-0.2279993453387894,6,685,2025-05-18
-1.549825761473154,-1.834683213219112,-1.0006047435378589,-1.7320508075688772,1.688553485298116,6,685,2025-05-24
0.3337476447980553,0.7062767533502587,0.5175828330974581,0.5773502691896257,-0.0347641700136986,8,685,2025-05-25
1.132839392913114,1.417217486604001,-0.4879130887136607,0.5773502691896257,-0.8428654830918081,7,685,2025-05-26
1.4753072849624247,1.207219815187026,0.2327435035689348,0.5773502691896257,-0.6240690304143195,10,685,2025-05-27
0.3052086537939461,0.4012603727131809,0.3456987924627152,0.5773502691896257,-0.6547346686349951,6,685,2025-05-29
