calls_duration_pre_sleep,screen_first_on_time_day,circadian_screen_misalignment,location_avg_speed_day,accel_morning_movement_ratio,sleep_quality,uid,label_date
-0.3962041459632064,-1.947849447628201,-1.9032390467562696,-0.4363283866598804,-1.1843227066374422,5,676,2025-04-28
-0.3962041459632064,0.1593883182437528,0.0377127563701485,-0.0471620330247743,0.6337054706977422,5,676,2025-04-29
-0.3962041459632064,0.4740249984132391,0.0618193499775751,-0.2868930078439216,0.2388962447659601,5,676,2025-04-30
0.2208350977499814,0.7017225959043145,0.991132509536044,-0.3951720746090468,-0.0805092387456262,4,676,2025-05-01
-0.3962041459632064,0.5568241247736303,0.3404019800506369,-0.4166806243882722,-0.4323739481683831,5,676,2025-05-14
-0.3962041459632064,0.436765391551063,0.7628847153013023,-0.3890422574474966,0.197843722722745,5,676,2025-05-15
-0.3962041459632064,0.3870859157348285,0.45181155440007,-0.2014698230486125,2.052088122674265,6,676,2025-05-16
-0.3962041459632064,-1.947849447628201,-1.9032390467562696,-0.4363283866598804,-1.1843227066374422,7,676,2025-05-26
2.94879806995567,0.9915195381656836,0.2704023521214416,2.9792524825844344,-1.1843227066374422,3,676,2025-05-27
-0.3962041459632064,0.1883680124698896,0.8903128757553216,-0.37017588890255,0.9433177459656245,5,676,2025-05-29
