screen_cluster_count_pre_sleep,calls_total_sleep,light_max_sleep,sleep_quality,uid,label_date
-0.8811976250843205,-0.3333333333333333,-0.6163916589256077,6,681,2025-04-28
2.2753311811878723,-0.3333333333333333,-0.2711414135765174,5,681,2025-04-29
-0.8811976250843205,-0.3333333333333333,-0.2327802752043963,7,681,2025-04-30
-0.8811976250843205,-0.3333333333333333,-0.6163916589256077,5,681,2025-05-15
0.5655447444571012,3.0,2.858385003942656,7,681,2025-05-16
-0.6181535578949711,-0.3333333333333333,-0.6163916589256077,7,681,2025-05-17
0.8285888116464506,-0.3333333333333333,-0.1521977581208209,5,681,2025-05-18
-0.8811976250843205,-0.3333333333333333,-0.1176968600880328,7,681,2025-05-24
0.5655447444571012,-0.3333333333333333,-0.6163916589256077,6,681,2025-05-26
-0.0920654235162723,-0.3333333333333333,0.3809979387495419,6,681,2025-05-27
