location_immobility_duration_full_window,location_max_still_duration_sleep,screen_total_duration_sleep,light_pre_sleep_ratio,calls_first_call_next_day,sleep_quality,uid,label_date
-1.238700547082713,-1.0171164401893409,-0.3624643519857694,-1.620917682679041,-0.7071304967275799,6,670,2025-04-28
-0.5181132119502019,-0.1926341443270166,-0.221776000826861,0.5976585924686879,-0.7071304967275799,7,670,2025-04-29
-0.2755154757889231,-0.2010472289786729,-0.3624643519857694,0.4350713904258821,2.2351799835290995,8,670,2025-04-30
0.2216897854525095,1.0188500455115006,-0.3624643519857694,0.6889921966102491,0.9910316474614836,4,670,2025-05-01
-1.305955365028414,-1.252682810435719,-0.3624643519857694,-1.620917682679041,-0.7071304967275799,7,670,2025-05-15
1.059973051989998,1.8096800027671995,3.15474442698694,0.7064123314465175,0.7276534714794282,5,670,2025-05-16
1.5571783132314303,1.1534593999380025,-0.1655006603632977,0.4419430116595217,-0.7071304967275799,3,670,2025-05-17
1.345806028259227,-0.4955051917866458,-0.3624643519857694,0.77880206750019,-0.7071304967275799,5,670,2025-05-18
-1.305955365028414,-1.252682810435719,-0.3624643519857694,-1.620917682679041,-0.7071304967275799,7,670,2025-05-24
0.5427915085135027,0.8346034916402261,-0.2367827582838113,0.4350713904258821,-0.7071304967275799,5,670,2025-05-25
-0.0831987225680019,-0.4049243137038121,-0.3558988955983538,0.77880206750019,0.9960483746230469,7,670,2025-05-26
