screen_inter_event_std_day,location_num_transitions_day,light_mean_sleep,wifi_scans_pre_sleep,light_pre_sleep_ratio,sleep_quality,uid,label_date
-0.1021068652234285,0.2851329742561005,-1.433131059594919,0.4074074074074074,-0.2671398235555162,7,687,2025-04-29
0.4101839895465841,0.7128324356402512,0.2987456111460976,0.4074074074074074,-0.2382247293597982,7,687,2025-04-30
0.5520959930503045,-0.1425664871280502,-0.8092486663268841,0.4074074074074074,-0.2794155782727425,7,687,2025-05-01
-1.8892523365129088,-1.8533643326646527,0.9140581963565576,-0.3333333333333333,2.9283353999091872,6,687,2025-05-15
0.7903872275406932,0.9979654098963516,1.034385010179646,0.4074074074074074,-0.2938462536497152,8,687,2025-05-16
0.2837138265777281,0.1425664871280502,0.8565324839542656,0.4074074074074074,-0.1784934615712041,4,687,2025-05-17
1.200267175572893,0.9979654098963516,-0.9175762230494984,0.4074074074074074,-0.2591830115460812,9,687,2025-05-18
-1.8892523365129088,-1.8533643326646527,-0.7517742146981161,-2.925925925925926,-0.9664031848552938,5,687,2025-05-24
0.2106862564878327,0.7128324356402512,1.5934056742184566,0.4074074074074074,-0.2280475322180027,5,687,2025-05-25
0.4332770694732116,0.0,-0.7853968121856038,0.4074074074074074,-0.2175818248808333,7,687,2025-05-26
