calls_total_pre_sleep,circadian_disruption_score,circadian_screen_misalignment,light_entropy_sleep,location_max_still_duration_sleep,sleep_quality,uid,label_date
-0.6405126152203486,1.6133702149639948,1.4465632257307277,0.326927772669675,-0.4898009589242363,8,678,2025-04-28
0.2401922307076307,-0.601176979893587,0.2535818736452522,-0.4875687183634594,1.4972008311080096,7,678,2025-04-29
0.2401922307076307,0.2942705934879984,-0.1444907225928787,-0.5338387991155891,1.248825607353979,6,678,2025-04-30
-0.6405126152203486,1.5604427265915406,1.4551636108206625,2.462256221475634,-1.4005101126890158,4,678,2025-05-15
2.8823067684915684,0.4444647087792598,0.2513658707629428,-0.3780392527513576,0.7148188762828128,10,678,2025-05-16
-0.6405126152203486,-1.0096954557533544,-0.3595015931759568,-0.4238630345948174,-0.986551406432298,4,678,2025-05-17
-0.6405126152203486,-1.4107922675782496,-1.3343222919288764,0.7305287407953676,0.0731828815849,3,678,2025-05-18
-0.6405126152203486,0.2487467894488531,-1.78105605645302,-1.4394968088957258,-1.5714750583730404,4,678,2025-05-23
0.2401922307076307,0.6757462215878379,0.9192197391739106,-0.6412779558388524,-0.1119946463472718,8,678,2025-05-24
-0.6405126152203486,-1.1726161497827727,-0.8355567302994416,0.8608413927822282,0.0135728278839327,3,678,2025-05-25
0.2401922307076307,-0.6427604018515195,0.1290330743166775,-0.4764695581631015,1.012731158552231,5,678,2025-05-27
